size_rank,year,avg_annual_rent,renter_income,owner_income,total_income,rent_to_income,yoy_rent_growth,yoy_income_growth,growth_gap
1,2015,27042.094853,43593,100951,68743,0.620331127772807,,,
1,2016,27723.733098,46256,104163,71897,0.599354312910758,0.0252065621655931,0.061087789323974,-0.0358812271583809
1,2017,28224.132137,48295,107419,75368,0.584411059881975,0.0180494826303206,0.0440807679003805,-0.0260312852700599
1,2018,28770.75712,50654,112024,78478,0.567985886998065,0.0193672910949638,0.048845636194223,-0.0294783450992592
1,2019,29648.7419,55272,119208,83160,0.536415217469967,0.0305165684843819,0.0911675287242863,-0.0606509602399044
1,2020,28958.175225,53200,116518,81951,0.544326601973684,-0.023291601287136,-0.0374873353596758,0.0141957340725398
1,2021,29444.927343,55094,120061,84409,0.534448893581878,0.016808798006712,0.0356015037593985,-0.0187927057526865
1,2022,34309.297121,60218,129889,91562,0.569751521488592,0.165202301956314,0.0930046829055796,0.0721976190507343
1,2023,36123.715775,62791,135107,95220,0.575300851634788,0.0528841686147346,0.0427280879471254,0.0101560806676092
1,2024,37544.276322,66983,139307,99852,0.560504550736754,0.039324873328317,0.0667611600388591,-0.0274362867105421
2,2015,21674.343722,43980,92058,62544,0.492822731286949,,,
2,2016,23016.750399,46607,96118,65950,0.493847499281224,0.0619352859868796,0.0597316962255571,0.00220358976132255
2,2017,24382.164015,49928,99981,69992,0.488346499258933,0.0593226060295341,0.0712553908211213,-0.0119327847915872
2,2018,25546.566481,52426,102279,72563,0.487288110498607,0.047756321599824,0.0500320461464509,-0.00227572454662689
2,2019,26574.901173,56396,108689,77774,0.471219610841194,0.0402533425681616,0.0757257849158814,-0.0354724423477198
2,2020,26873.328881,54577,107350,76399,0.492392928907782,0.0112296827016313,-0.0322540605716718,0.043483743273303
2,2021,28463.837735,59626,114209,82503,0.47737292011874,0.0591854050178548,0.0925114975172692,-0.0333260924994144
2,2022,31790.768274,64068,123329,87743,0.496203538022102,0.116882711669941,0.0744977023446148,0.0423850093253266
2,2023,32754.78846,67832,128258,91960,0.482881065868617,0.030323903395201,0.0587500780420803,-0.0284261746468793
2,2024,33512.807608,72301,132458,96405,0.463517898894898,0.0231422391546107,0.0658833588866612,-0.0427411197320505
3,2015,16887.682406,37450,83321,63153,0.450939450093458,,,
3,2016,17381.828959,40334,85614,66020,0.430947313903902,0.0292607677667146,0.0770093457943925,-0.0477485780276779
3,2017,17828.061303,41129,87756,68403,0.433466928517591,0.0256723469695028,0.0197104180096197,0.00596192895988315
3,2018,18261.280747,42959,90772,70760,0.425086262412998,0.02429986281947,0.0444941525444334,-0.0201942897249633
3,2019,18779.464505,44814,96850,75379,0.419053521332619,0.0283760906575585,0.0431807071859215,-0.014804616528363
3,2020,18922.800682,45243,95171,74621,0.418248141856199,0.00763260192865659,0.00957290132547865,-0.00194029939682205
3,2021,19522.403426,47107,98952,78166,0.414426803362558,0.0316867864369761,0.0411997436067458,-0.00951295716976969
3,2022,21387.114452,50795,104124,82914,0.421047631696033,0.0955164681986117,0.078289850765279,0.0172266174333327
3,2023,22732.403517,55775,107302,87071,0.407573348579112,0.0629018499909976,0.0980411457820652,-0.0351392957910675
3,2024,23904.301579,56097,112314,90770,0.426124419826372,0.0515518766470786,0.00577319587628866,0.04577868077079
4,2015,13006.347378,41108,82217,61644,0.316394555269047,,,
4,2016,13645.792311,43434,85419,63812,0.314173051319243,0.0491640669294751,0.0565826603094288,-0.00741859337995372
4,2017,14316.584322,45793,89583,67382,0.312636960277772,0.0491574249198614,0.0543122899111295,-0.00515486499126808
4,2018,14856.627651,47637,92287,69445,0.311871605075886,0.0377215205005377,0.0402681632563929,-0.00254664275585517
4,2019,15401.890445,50088,95113,72265,0.30749661485785,0.0367016530809599,0.0514516027457648,-0.0147499496648049
4,2020,15727.318167,49963,96415,72882,0.314779300022016,0.0211290765352539,-0.00249560773039451,0.0236246842656484
4,2021,17277.214689,51052,101372,75975,0.338423855852856,0.0985480490406867,0.0217961291355603,0.0767519199051264
4,2022,19482.657883,56132,109119,82823,0.347086472653745,0.127650390048354,0.099506385646008,0.0281440044023459
4,2023,19828.75125,60659,113948,86860,0.326888858207356,0.017764176175469,0.0806491840661298,-0.0628850078906609
4,2024,19752.679418,63172,120757,92733,0.312680925378332,-0.00383644088530292,0.0414283123691455,-0.0452647532544485
5,2015,14574.109562,39498,84964,61465,0.368983481745911,,,
5,2016,14694.980828,40406,83696,61708,0.363683136860862,0.00829356095381329,0.0229885057471264,-0.0146949447933131
5,2017,14912.475059,41735,85824,63802,0.357313407427818,0.0148005794322361,0.0328911547789932,-0.0180905753467571
5,2018,15460.922455,42822,87491,65394,0.361050919036944,0.036777757805469,0.0260452857314005,0.0107324720740685
5,2019,15723.982945,44328,94438,69193,0.354718979990074,0.0170145404173428,0.035168838447527,-0.0181542980301842
5,2020,15942.901258,44770,92989,69328,0.356106796024123,0.0139225738011637,0.00997112434578596,0.00395144945537775
5,2021,16976.32036,44491,94993,70893,0.381567516126857,0.0648200152077991,-0.00623185168639714,0.0710518668941963
5,2022,18441.775306,50654,101502,74863,0.364073425711691,0.0863234738107875,0.138522397788317,-0.0521989239775293
5,2023,18967.405046,51831,104775,79463,0.365947117477957,0.028502122560239,0.0232360721759387,0.00526605038430024
5,2024,19290.654342,52174,112026,81417,0.369736925326791,0.0170423574134708,0.00661766124520075,0.0104246961682701
7,2015,14505.774602,37058,83472,65123,0.391434362404879,,,
7,2016,14893.691694,38243,85555,65996,0.389448832309181,0.0267422528367782,0.0319769010739921,-0.00523464823721392
7,2017,15360.155936,36480,90744,68572,0.421056906140351,0.0313195849346015,-0.0460999398582747,0.0774195247928762
7,2018,15871.955302,41267,90912,70747,0.384616165507548,0.0333199329572222,0.131222587719298,-0.097902654762076
7,2019,16496.225029,42544,95946,74533,0.38774504111038,0.0393316207815514,0.0309448227397194,0.00838679804183206
7,2020,17004.095685,43464,95865,74825,0.391222521742131,0.0307870834149736,0.0216246709289206,0.009162412486053
7,2021,18103.177796,46336,101789,80007,0.390693581578039,0.0646363165298784,0.0660776734769004,-0.00144135694702201
7,2022,19754.939187,50673,106659,84123,0.389851384109881,0.0912415162472174,0.0935989295580111,-0.00235741331079362
7,2023,20479.386133,52294,108810,86867,0.391620188415497,0.0366716869711617,0.0319894223748347,0.004682264596327
7,2024,21224.596497,54785,114919,90850,0.387416199634937,0.0363883155071325,0.047634527861705,-0.0112462123545725
8,2015,18084.047222,35667,64692,50441,0.507024622816609,,,
8,2016,18737.440473,37188,66719,51362,0.503857170942239,0.0361309193113098,0.0426444612667171,-0.00651354195540736
8,2017,19219.398826,39653,70160,54284,0.484689653393186,0.0257216749371125,0.0662848230612025,-0.04056314812409
8,2018,19794.402498,41558,71339,56328,0.476307870879253,0.0299178802212135,0.0480417622878471,-0.0181238820666336
8,2019,20365.059639,44612,75471,60141,0.456492863781045,0.0288292178083,0.0734876558063429,-0.0446584379980429
8,2020,20878.68388,43005,74980,59030,0.485494335077317,0.0252208562167129,-0.0360216981977943,0.0612425544145072
8,2021,24269.321973,46038,80036,63814,0.527158477192754,0.162397118155898,0.0705266829438437,0.0918704352120542
8,2022,29748.719617,52865,88023,70769,0.562729965326776,0.225774648755986,0.148290542595247,0.0774841061607383
8,2023,30910.517587,57082,93389,76271,0.541510766739077,0.0390537134020412,0.079769223493805,-0.0407155100917637
8,2024,31445.693646,60580,98210,80625,0.519077148332783,0.0173137204025686,0.0612802634806068,-0.0439665430780382
9,2015,12225.4925858,39625,76529,60219,0.30852978134511,,,
9,2016,12923.662377,41745,80432,62613,0.309585875601869,0.0571077023113923,0.0535015772870662,0.00360612502432604
9,2017,13738.55362,43347,82106,65381,0.316943585945971,0.0630542039267634,0.0383758533956162,0.0246783505311472
9,2018,14599.999354,44890,87992,69464,0.325239459879706,0.0627027966572802,0.035596465730039,0.0271063309272412
9,2019,15495.245762,47331,91012,71742,0.327380485559147,0.0613182498364102,0.054377366896859,0.00694088293955118
9,2020,16244.591698,46330,89903,71193,0.350627923548457,0.0483597322372047,-0.0211489298768249,0.0695086621140297
9,2021,18589.785855,50269,96644,77589,0.369806159959418,0.14436768868058,0.0850205050723074,0.0593471836082728
9,2022,20746.111129,55482,104027,84876,0.373925077124112,0.115995164808207,0.103702082794565,0.0122930820136417
9,2023,21139.921496,57433,106078,86505,0.368079701495656,0.0189823704573485,0.035164557874626,-0.0161821874172775
9,2024,21202.689878,61684,112125,92344,0.343730787205758,0.00296918709049505,0.0740166803057476,-0.0710474932152525
10,2015,25046.382328,44701,104430,78800,0.560309217422429,,,
10,2016,26025.379491,48273,108319,82380,0.53912910925362,0.0390873679950798,0.0799087268741192,-0.0408213588790393
10,2017,26974.956411,47580,112698,85691,0.566938974590164,0.0364865734360715,-0.0143558510968865,0.0508424245329579
10,2018,27907.727059,51804,117048,88711,0.538717609817775,0.0345791345790509,0.0887767969735183,-0.0541976623944674
10,2019,28834.566398,56498,123364,94430,0.510364373924741,0.0332108500645919,0.0906107636475948,-0.0573999135830029
10,2020,28681.354704,55178,121157,93537,0.519796924571387,-0.00531347313794281,-0.0233636588905802,0.0180501857526374
10,2021,29342.012764,59815,130230,100750,0.490546063094541,0.0230344091769089,0.0840371162419805,-0.0610027070650716
10,2022,32491.926691,63356,136320,104299,0.51284687623903,0.107351665079522,0.0591991975257043,0.0481524675538182
10,2023,34646.567949,66891,144876,110697,0.517955598645558,0.0663131269035154,0.0557958204432098,0.0105173064603056
10,2024,36108.532691,73324,151604,117825,0.492451757828269,0.0421965241738235,0.0961713832952116,-0.0539748591213881
11,2015,11390.361717,38629,70612,55547,0.294865559993787,,,
11,2016,12007.6644647,41385,72511,58075,0.290145329580766,0.0541951838789001,0.0713453622925781,-0.017150178413678
11,2017,12740.674876,42432,76490,61506,0.300261002922323,0.0610452110362422,0.0252990213845596,0.0357461896516826
11,2018,13637.588968,45812,79410,64427,0.297685954946302,0.0703976909174213,0.079656862745098,-0.00925917182767674
11,2019,14727.284287,48696,82972,67896,0.302433142085592,0.0799038100911327,0.0629529380948223,0.0169508719963104
11,2020,15814.42326,47224,82472,67068,0.334881061748264,0.0738180204723579,-0.0302283555117463,0.104046375984104
11,2021,18629.743677,51372,90256,75731,0.362643924258351,0.178022326247008,0.087836693206844,0.0901856330401645
