"GEO_ID","NAME","B25119_001E","B25119_001M","B25119_002E","B25119_002M","B25119_003E","B25119_003M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)!!Total","Margin of Error!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)!!Total","Estimate!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)!!Owner occupied (dollars)","Margin of Error!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)!!Owner occupied (dollars)","Estimate!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)!!Renter occupied (dollars)","Margin of Error!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)!!Renter occupied (dollars)",
"310M300US10180","Abilene, TX Metro Area","51130","5173","61159","5104","36274","3422",
"310M300US10380","Aguadilla-Isabela, PR Metro Area","16645","1332","20971","1691","10108","1540",
"310M300US10420","Akron, OH Metro Area","56106","1430","70792","2180","32307","2094",
"310M300US10500","Albany, GA Metro Area","43614","2575","56389","4122","29249","3382",
"310M300US10540","Albany, OR Metro Area","51541","3895","69545","4085","30899","2225",
"310M300US10580","Albany-Schenectady-Troy, NY Metro Area","68681","2829","91451","2302","40542","1444",
"310M300US10740","Albuquerque, NM Metro Area","50906","1273","63286","2378","32020","2072",
"310M300US10780","Alexandria, LA Metro Area","40585","3077","54142","5466","27959","3881",
"310M300US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","63944","1783","80298","1781","36658","2368",
"310M300US11020","Altoona, PA Metro Area","45957","2207","57880","3282","25811","4813",
"310M300US11100","Amarillo, TX Metro Area","53922","2296","64574","3182","36482","3611",
"310M300US11180","Ames, IA Metro Area","60351","8380","103554","4994","28761","4936",
"310M300US11260","Anchorage, AK Metro Area","76871","4516","96472","4930","54116","5506",
"310M300US11460","Ann Arbor, MI Metro Area","70286","2695","91947","4634","43765","3589",
"310M300US11500","Anniston-Oxford-Jacksonville, AL Metro Area","46763","3173","53906","4712","27900","3363",
"310M300US11540","Appleton, WI Metro Area","65990","1793","80817","4570","36700","5131",
"310M300US11640","Arecibo, PR Metro Area","16624","2091","21338","2649","8551","1264",
"310M300US11700","Asheville, NC Metro Area","50015","1645","59653","3071","34804","2898",
"310M300US12020","Athens-Clarke County, GA Metro Area","46521","3884","72170","5092","30194","3112",
"310M300US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","65381","760","82106","1166","43347","1373",
"310M300US12100","Atlantic City-Hammonton, NJ Metro Area","61777","4761","84333","5699","29645","4510",
"310M300US12220","Auburn-Opelika, AL Metro Area","52943","5656","69442","5049","29231","2759",
"310M300US12260","Augusta-Richmond County, GA-SC Metro Area","50492","2272","61969","1796","30817","1529",
"310M300US12420","Austin-Round Rock, TX Metro Area","73800","1801","98445","2233","50304","1530",
"310M300US12540","Bakersfield, CA Metro Area","49854","2063","64167","2682","34786","1709",
"310M300US12580","Baltimore-Columbia-Towson, MD Metro Area","77394","1431","99862","1404","44789","1438",
"310M300US12620","Bangor, ME Metro Area","50349","2654","58811","4681","32907","4354",
"310M300US12700","Barnstable Town, MA Metro Area","71235","3113","80994","4765","41639","7113",
"310M300US12940","Baton Rouge, LA Metro Area","57401","3128","71596","2769","33009","3386",
"310M300US12980","Battle Creek, MI Metro Area","45386","2270","58344","3850","22161","3558",
"310M300US13020","Bay City, MI Metro Area","44770","3119","52731","3615","24713","3790",
"310M300US13140","Beaumont-Port Arthur, TX Metro Area","49875","2521","62088","3466","33818","3059",
"310M300US13220","Beckley, WV Metro Area","42493","4004","49489","3928","17368","3212",
"310M300US13380","Bellingham, WA Metro Area","61186","2599","82483","7412","40198","6151",
