"GEO_ID","NAME","B25119_001E","B25119_001M","B25119_002E","B25119_002M","B25119_003E","B25119_003M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)!!Total","Margin of Error!!Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)!!Total","Estimate!!Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)!!Owner occupied (dollars)","Margin of Error!!Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)!!Owner occupied (dollars)","Estimate!!Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)!!Renter occupied (dollars)","Margin of Error!!Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)!!Renter occupied (dollars)",
"310M200US10180","Abilene, TX Metro Area","44303","2767","56105","3984","32530","2850",
"310M200US10380","Aguadilla-Isabela, PR Metro Area","15886","939","19468","1666","10501","1448",
"310M200US10420","Akron, OH Metro Area","50538","1279","65407","2221","28483","1685",
"310M200US10500","Albany, GA Metro Area","39071","2542","56454","2498","23766","2240",
"310M200US10540","Albany, OR Metro Area","43428","4024","59902","4776","27761","1561",
"310M200US10580","Albany-Schenectady-Troy, NY Metro Area","62265","1494","80736","1854","37458","2040",
"310M200US10740","Albuquerque, NM Metro Area","47581","1279","61605","1380","28889","2502",
"310M200US10780","Alexandria, LA Metro Area","40209","3073","53405","3156","26585","3823",
"310M200US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","60320","968","73814","2034","34430","2677",
"310M200US11020","Altoona, PA Metro Area","44019","4070","55612","4272","24336","3042",
"310M200US11100","Amarillo, TX Metro Area","51280","2184","64697","3954","30604","2114",
"310M200US11180","Ames, IA Metro Area","46091","5589","76520","6789","24183","5949",
"310M200US11260","Anchorage, AK Metro Area","75682","2922","97879","5970","50360","4903",
"310M200US11460","Ann Arbor, MI Metro Area","62845","2167","90881","4228","35906","1965",
"310M200US11500","Anniston-Oxford-Jacksonville, AL Metro Area","41428","2300","51737","2238","20384","4746",
"310M200US11540","Appleton, WI Metro Area","60106","2400","72642","2592","35660","2921",
"310M200US11640","Arecibo, PR Metro Area","16244","1012","19852","1569","8882","1553",
"310M200US11700","Asheville, NC Metro Area","46917","1688","56097","2262","30524","1802",
"310M200US12020","Athens-Clarke County, GA Metro Area","41761","2538","62634","4775","22004","2467",
"310M200US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","56166","741","73688","1126","36408","755",
"310M200US12100","Atlantic City-Hammonton, NJ Metro Area","55313","3112","69965","4272","29460","3471",
"310M200US12220","Auburn-Opelika, AL Metro Area","39932","3096","62185","4047","21919","4703",
"310M200US12260","Augusta-Richmond County, GA-SC Metro Area","46689","1962","61355","2570","25808","2103",
"310M200US12420","Austin-Round Rock, TX Metro Area","63603","1891","85218","2529","41750","1006",
"310M200US12540","Bakersfield, CA Metro Area","47644","2483","65733","2101","32454","2242",
"310M200US12580","Baltimore-Columbia-Towson, MD Metro Area","71501","1015","90926","1152","42691","1732",
"310M200US12620","Bangor, ME Metro Area","42242","2830","54417","3875","20129","4389",
"310M200US12700","Barnstable Town, MA Metro Area","65384","3611","72435","4401","38824","5077",
"310M200US12940","Baton Rouge, LA Metro Area","52091","1775","67406","2954","31276","1751",
"310M200US12980","Battle Creek, MI Metro Area","46088","2381","51675","2125","27384","4463",
"310M200US13020","Bay City, MI Metro Area","46844","3219","55118","6523","23054","2815",
"310M200US13140","Beaumont-Port Arthur, TX Metro Area","42494","1882","52787","2332","28275","3722",
"310M200US13220","Beckley, WV Metro Area","39498","2409","44427","3728","22132","3316",
"310M200US13380","Bellingham, WA Metro Area","53665","2845","65491","3089","31565","3461",
"310M200US13460","Bend-Redmond, OR Metro Area","52006","3650","64121","6138","33780","4901",
"310M200US13740","Billings, MT Metro Area","51111","2276","62352","3908","32935","4068",
"310M200US13780","Binghamton, NY Metro Area","48188","2923","60803","3415","27459","4853",
"310M200US13820","Birmingham-Hoover, AL Metro Area","47046","1153","59678","1513","28509","1561",
"310M200US13900","Bismarck, ND Metro Area","63356","3881","77379","4168","36951","4496",
"310M200US13980","Blacksburg-Christiansburg-Radford, VA Metro Area","43709","3109","57343","2723","24832","6186",
"310M200US14010","Bloomington, IL Metro Area","57592","3905","75406","4705","34080","3559",
"310M200US14020","Bloomington, IN Metro Area","44963","2256","61626","4311","25494","2336",
"310M200US14100","Bloomsburg-Berwick, PA Metro Area","49670","3786","59593","2984","26902","10028",
"310M200US14260","Boise City, ID Metro Area","51826","1654","62368","2469","31879","1905",
"310M200US14460","Boston-Cambridge-Newton, MA-NH Metro Area","75667","875","102222","832","43305","1302",
"310M200US14500","Boulder, CO Metro Area","71540","3599","97848","6666","41724","2886",
"310M200US14540","Bowling Green, KY Metro Area","47277","2910","61733","3990","29131","3133",
"310M200US14740","Bremerton-Silverdale, WA Metro Area","61794","2426","77183","4800","38949","2857",
"310M200US14860","Bridgeport-Stamford-Norwalk, CT Metro Area","85925","2989","110761","2300","44895","2871",
"310M200US15180","Brownsville-Harlingen, TX Metro Area","32093","1534","41838","2999","18805","1887",
"310M200US15260","Brunswick, GA Metro Area","46268","1875","59507","5886","27891","6323",
"310M200US15380","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area","50074","926","65226","1521","27572","1629",
"310M200US15500","Burlington, NC Metro Area","39576","2701","50094","5864","28148","3656",
"310M200US15540","Burlington-South Burlington, VT Metro Area","61947","2506","80451","5891","40022","4038",
"310M200US15680","California-Lexington Park, MD Metro Area","86417","4765","100200","4993","52521","10068",
"310M200US15940","Canton-Massillon, OH Metro Area","47729","1562","59507","1916","27694","2005",
"310M200US15980","Cape Coral-Fort Myers, FL Metro Area","49055","1539","56674","1709","36531","1705",
