"GEO_ID","NAME","B25119_001E","B25119_001M","B25119_002E","B25119_002M","B25119_003E","B25119_003M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars) --!!Total:","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars) --!!Total:","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars) --!!Total:!!Owner occupied (dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars) --!!Total:!!Owner occupied (dollars)","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars) --!!Total:!!Renter occupied (dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars) --!!Total:!!Renter occupied (dollars)",
"310M700US10180","Abilene, TX Metro Area","63390","7471","86022","8233","43401","4747",
"310M700US10380","Aguadilla, PR Metro Area","24351","1426","27390","2293","14776","3245",
"310M700US10420","Akron, OH Metro Area","71364","1942","89441","3021","41916","2939",
"310M700US10500","Albany, GA Metro Area","56851","4592","78956","5753","38935","3065",
"310M700US10540","Albany, OR Metro Area","80422","7200","92330","4449","47347","14593",
"310M700US10580","Albany-Schenectady-Troy, NY Metro Area","86637","2732","112906","2939","52968","3385",
"310M700US10740","Albuquerque, NM Metro Area","76097","2523","90070","3620","50962","3228",
"310M700US10780","Alexandria, LA Metro Area","55909","4241","77030","8245","32850","6044",
"310M700US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","83974","2520","102509","2912","53361","3415",
"310M700US11020","Altoona, PA Metro Area","66994","4540","81932","6525","39008","3078",
"310M700US11100","Amarillo, TX Metro Area","69595","2928","86573","4770","46774","5286",
"310M700US11180","Ames, IA Metro Area","70873","5731","102068","9379","44415","3173",
"310M700US11200","Amherst Town-Northampton, MA Metro Area","81732","6643","105550","5627","43804","12743",
"310M700US11260","Anchorage, AK Metro Area","102698","4241","129521","8969","64270","5897",
"310M700US11460","Ann Arbor, MI Metro Area","90523","3421","125349","5163","47754","5728",
"310M700US11500","Anniston-Oxford, AL Metro Area","52719","2868","62187","7980","33607","4688",
"310M700US11540","Appleton, WI Metro Area","82501","4039","101408","3141","52306","6209",
"310M700US11640","Arecibo, PR Metro Area","23466","2481","27256","3397","18919","3027",
"310M700US11700","Asheville, NC Metro Area","76275","5775","90031","5855","50486","5635",
"310M700US12020","Athens-Clarke County, GA Metro Area","64951","5723","92902","7509","41245","3800",
"310M700US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","92344","963","112125","1528","61684","1194",
"310M700US12100","Atlantic City-Hammonton, NJ Metro Area","80806","4049","93024","4843","51845","8432",
"310M700US12220","Auburn-Opelika, AL Metro Area","68336","3984","89662","7103","39083","8716",
"310M700US12260","Augusta-Richmond County, GA-SC Metro Area","72176","2631","86695","2305","46397","3606",
"310M700US12420","Austin-Round Rock-San Marcos, TX Metro Area","99897","2027","136933","3463","70008","1922",
"310M700US12540","Bakersfield-Delano, CA Metro Area","71596","2131","90934","2818","48784","2613",
"310M700US12580","Baltimore-Columbia-Towson, MD Metro Area","98666","2168","124651","2798","59891","2073",
"310M700US12620","Bangor, ME Metro Area","66506","5327","79536","10111","34878","7939",
"310M700US12700","Barnstable Town, MA Metro Area","87925","5350","100815","8372","52080","16959",
"310M700US12940","Baton Rouge, LA Metro Area","69293","3794","87513","3963","40626","4958",
"310M700US12980","Battle Creek, MI Metro Area","65024","3463","74269","6637","47333","11209",
"310M700US13020","Bay City, MI Metro Area","64694","4668","73504","5169","44708","7573",
"310M700US13140","Beaumont-Port Arthur, TX Metro Area","65775","5114","81646","3625","46614","5837",
"310M700US13220","Beckley, WV Metro Area","51327","3645","56272","8715","37587","12189",
"310M700US13380","Bellingham, WA Metro Area","86162","7154","108785","7800","55524","5530",
"310M700US13460","Bend, OR Metro Area","95979","4901","108672","5054","70787","7257",
"310M700US13740","Billings, MT Metro Area","77770","4052","96934","7001","49343","4722",
"310M700US13780","Binghamton, NY Metro Area","65599","4510","81955","3922","37577","6324",
"310M700US13820","Birmingham, AL Metro Area","74954","2312","90498","2326","45638","3008",
"310M700US13900","Bismarck, ND Metro Area","86769","11662","101500","5364","49818","5743",
"310M700US13980","Blacksburg-Christiansburg-Radford, VA Metro Area","65518","7711","90114","10415","37297","5277",
"310M700US14010","Bloomington, IL Metro Area","81240","3029","107906","7445","45147","10101",
"310M700US14020","Bloomington, IN Metro Area","67243","4932","94684","10421","35402","4571",
"310M700US14260","Boise City, ID Metro Area","88695","2915","101845","1802","62548","3681",
"310M700US14460","Boston-Cambridge-Newton, MA-NH Metro Area","117825","2297","151604","2110","73324","2371",
"310M700US14500","Boulder, CO Metro Area","102697","5115","140755","8353","66236","6069",
"310M700US14540","Bowling Green, KY Metro Area","65869","5009","84559","7487","46363","7066",
"310M700US14580","Bozeman, MT Metro Area","103918","9809","119592","10188","75072","19120",
"310M700US14740","Bremerton-Silverdale-Port Orchard, WA Metro Area","109052","3906","129023","6228","66444","14442",
"310M700US14860","Bridgeport-Stamford-Danbury, CT Metro Area","116402","5624","155067","4883","61691","2970",
"310M700US15180","Brownsville-Harlingen, TX Metro Area","53267","3027","65944","2915","33293","4311",
"310M700US15260","Brunswick-St. Simons, GA Metro Area","69871","12536","86396","10593","40725","7610",
"310M700US15380","Buffalo-Cheektowaga, NY Metro Area","72300","1724","91223","2643","43505","2348",
"310M700US15500","Burlington, NC Metro Area","65966","3144","89051","6189","46528","3955",
"310M700US15540","Burlington-South Burlington, VT Metro Area","89615","6529","111097","4780","65208","7635",
"310M700US15940","Canton-Massillon, OH Metro Area","69597","3007","81241","2857","41207","3268",
"310M700US15980","Cape Coral-Fort Myers, FL Metro Area","83602","2555","91748","2345","64851","6147",
"310M700US16020","Cape Girardeau, MO-IL Metro Area","65809","4662","75791","8872","41014","5563",
"310M700US16180","Carson City, NV Metro Area","62948","12072","89133","18559","49300","4632",
"310M700US16220","Casper, WY Metro Area","71381","7775","91322","6003","43042","7381",
"310M700US16300","Cedar Rapids, IA Metro Area","75295","2474","91509","3228","40314","3765",
"310M700US16540","Chambersburg, PA Metro Area","74019","5531","88858","8849","47724","5067",
"310M700US16580","Champaign-Urbana, IL Metro Area","64980","3847","100478","6575","34478","3066",
"310M700US16620","Charleston, WV Metro Area","61625","3250","69557","3399","39798","8407",
"310M700US16700","Charleston-North Charleston, SC Metro Area","90307","3362","108107","5394","59685","2794",
"310M700US16740","Charlotte-Concord-Gastonia, NC-SC Metro Area","85938","1325","105301","2306","59178","2816",
"310M700US16820","Charlottesville, VA Metro Area","95796","4737","122489","6802","57518","4534",
"310M700US16860","Chattanooga, TN-GA Metro Area","75076","2389","91908","3022","47843","6014",
"310M700US16940","Cheyenne, WY Metro Area","83258","6017","96991","9699","51573","8879",
"310M700US16980","Chicago-Naperville-Elgin, IL-IN Metro Area","90770","879","112314","1110","56097","1329",
"310M700US17020","Chico, CA Metro Area","65221","3857","82540","7618","44523","3885",
"310M700US17140","Cincinnati, OH-KY-IN Metro Area","81489","1445","103472","1855","47687","3016",
"310M700US17300","Clarksville, TN-KY Metro Area","72347","4025","91425","2483","53320","4583",
"310M700US17410","Cleveland, OH Metro Area","72532","1261","90589","1526","42473","1689",
"310M700US17420","Cleveland, TN Metro Area","71568","4288","81450","9017","51207","9151",
"310M700US17660","Coeur d'Alene, ID Metro Area","83061","5629","103140","6575","59384","7961",
"310M700US17780","College Station-Bryan, TX Metro Area","61983","3426","101639","7135","37462","6572",
"310M700US17820","Colorado Springs, CO Metro Area","90760","2571","114243","3644","65273","2870",
"310M700US17860","Columbia, MO Metro Area","80142","6440","103379","8758","47014","7352",
"310M700US17900","Columbia, SC Metro Area","70788","2496","85153","3347","42035","3380",
"310M700US17980","Columbus, GA-AL Metro Area","60100","4158","75283","5899","45143","5798",
"310M700US18020","Columbus, IN Metro Area","80438","5724","88937","10390","48575","11712",
"310M700US18140","Columbus, OH Metro Area","82938","1487","109644","2125","52075","1353",
"310M700US18580","Corpus Christi, TX Metro Area","68650","3565","86305","5830","52626","3826",
"310M700US18700","Corvallis, OR Metro Area","79179","9019","118525","14825","37368","8297",
