"GEO_ID","NAME","B25119_001E","B25119_001M","B25119_002E","B25119_002M","B25119_003E","B25119_003M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars) --!!Owner occupied (dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars) --!!Owner occupied (dollars)","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars) --!!Renter occupied (dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars) --!!Renter occupied (dollars)",
"310M400US10180","Abilene, TX Metro Area","48021","3020","58539","7516","36378","3392",
"310M400US10380","Aguadilla-Isabela, PR Metro Area","17064","850","22734","1196","10652","1079",
"310M400US10420","Akron, OH Metro Area","60019","1949","76862","2183","32073","1622",
"310M400US10500","Albany, GA Metro Area","44896","3485","55232","4020","32105","4517",
"310M400US10540","Albany, OR Metro Area","54113","4736","70455","5401","38550","4164",
"310M400US10580","Albany-Schenectady-Troy, NY Metro Area","71301","1384","92163","1972","42191","2007",
"310M400US10740","Albuquerque, NM Metro Area","51134","1263","65604","1964","33042","1984",
"310M400US10780","Alexandria, LA Metro Area","47391","2779","63548","7478","28242","4702",
"310M400US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","65929","1838","81677","2368","39471","2135",
"310M400US11020","Altoona, PA Metro Area","49942","5629","62316","4141","26394","5002",
"310M400US11100","Amarillo, TX Metro Area","53087","2207","71397","2854","32967","2754",
"310M400US11180","Ames, IA Metro Area","54586","4578","78767","6976","29250","5539",
"310M400US11260","Anchorage, AK Metro Area","81037","4654","100855","3432","51969","3087",
"310M400US11460","Ann Arbor, MI Metro Area","71860","3365","100802","3455","40273","2665",
"310M400US11500","Anniston-Oxford-Jacksonville, AL Metro Area","45818","5781","57620","6745","24403","2615",
"310M400US11540","Appleton, WI Metro Area","65826","2825","79058","3492","41850","3381",
"310M400US11640","Arecibo, PR Metro Area","17347","1053","20988","2324","11013","1575",
"310M400US11700","Asheville, NC Metro Area","52410","1943","63940","3281","34416","3630",
"310M400US12020","Athens-Clarke County, GA Metro Area","51503","3199","79153","4371","30262","2144",
"310M400US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","69464","1074","87992","1312","44890","1061",
"310M400US12100","Atlantic City-Hammonton, NJ Metro Area","61212","1916","81626","3813","35952","3448",
"310M400US12220","Auburn-Opelika, AL Metro Area","46456","5092","76129","8553","22343","3549",
"310M400US12260","Augusta-Richmond County, GA-SC Metro Area","52696","2770","66487","2272","30591","2754",
"310M400US12420","Austin-Round Rock, TX Metro Area","76925","1423","102743","2132","51442","944",
"310M400US12540","Bakersfield, CA Metro Area","51579","1968","71552","2500","32427","2380",
"310M400US12580","Baltimore-Columbia-Towson, MD Metro Area","80469","1032","101889","1016","46735","1899",
"310M400US12620","Bangor, ME Metro Area","47217","3800","65594","4042","25365","5443",
"310M400US12700","Barnstable Town, MA Metro Area","68902","4776","79810","4763","34973","5504",
"310M400US12940","Baton Rouge, LA Metro Area","57843","2729","76230","2699","31258","2028",
"310M400US12980","Battle Creek, MI Metro Area","47204","3791","58310","4952","31030","1989",
"310M400US13020","Bay City, MI Metro Area","50606","2471","59839","4537","28438","3694",
"310M400US13140","Beaumont-Port Arthur, TX Metro Area","50378","2445","62118","3880","27860","3634",
"310M400US13220","Beckley, WV Metro Area","38917","4710","48052","3679","19068","2932",
"310M400US13380","Bellingham, WA Metro Area","62268","3301","75344","3907","42804","5881",
"310M400US13460","Bend-Redmond, OR Metro Area","67577","3751","82334","4586","37422","4793",
"310M400US13740","Billings, MT Metro Area","59623","4123","70323","4461","35714","5823",
"310M400US13780","Binghamton, NY Metro Area","53199","2679","70621","3164","26060","2195",
"310M400US13820","Birmingham-Hoover, AL Metro Area","56409","1503","69165","2957","35321","1979",
"310M400US13900","Bismarck, ND Metro Area","70550","5759","91528","5948","42771","4637",
"310M400US13980","Blacksburg-Christiansburg-Radford, VA Metro Area","50313","2960","62001","6420","25371","3347",
"310M400US14010","Bloomington, IL Metro Area","64822","4367","85797","4361","31738","3954",
"310M400US14020","Bloomington, IN Metro Area","47335","3508","70236","6096","27754","4564",
"310M400US14100","Bloomsburg-Berwick, PA Metro Area","50984","3031","62267","5765","25758","4538",
"310M400US14260","Boise City, ID Metro Area","61407","2316","71973","2234","39405","3249",
"310M400US14460","Boston-Cambridge-Newton, MA-NH Metro Area","88711","1470","117048","1328","51804","1060",
"310M400US14500","Boulder, CO Metro Area","83755","3581","112196","6215","49626","3278",
"310M400US14540","Bowling Green, KY Metro Area","51365","2820","65197","4221","31390","4059",
"310M400US14740","Bremerton-Silverdale, WA Metro Area","76945","2750","91440","3542","48104","4686",
"310M400US14860","Bridgeport-Stamford-Norwalk, CT Metro Area","91079","2690","124410","4636","45735","3386",
"310M400US15180","Brownsville-Harlingen, TX Metro Area","38378","2327","50317","2705","23517","1708",
"310M400US15260","Brunswick, GA Metro Area","50499","3962","61065","8572","30642","6391",
"310M400US15380","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area","56195","910","74701","1601","32311","1207",
"310M400US15500","Burlington, NC Metro Area","49979","2410","62830","5208","34938","6364",
"310M400US15540","Burlington-South Burlington, VT Metro Area","71452","3693","91388","3560","39250","5389",
"310M400US15680","California-Lexington Park, MD Metro Area","92250","9250","106533","5209","59075","10050",
"310M400US15940","Canton-Massillon, OH Metro Area","51624","1509","64595","2122","30201","3040",
"310M400US15980","Cape Coral-Fort Myers, FL Metro Area","56129","1578","63142","2060","41236","2843",
"310M400US16020","Cape Girardeau, MO-IL Metro Area","48026","4217","60078","5898","31025","6877",
"310M400US16060","Carbondale-Marion, IL Metro Area","42716","2124","55972","5001","23613","2569",
"310M400US16180","Carson City, NV Metro Area","56160","4367","76736","6113","48059","4609",
"310M400US16220","Casper, WY Metro Area","64833","5084","80429","11056","42016","11903",
"310M400US16300","Cedar Rapids, IA Metro Area","62882","2839","76478","3758","31758","5729",
"310M400US16540","Chambersburg-Waynesboro, PA Metro Area","61208","6436","70669","2900","37069","6408",
"310M400US16580","Champaign-Urbana, IL Metro Area","52912","2007","80983","4699","28578","5499",
"310M400US16620","Charleston, WV Metro Area","40806","1998","50403","3188","24328","5136",
"310M400US16700","Charleston-North Charleston, SC Metro Area","64283","2771","78347","2921","42516","3039",
"310M400US16740","Charlotte-Concord-Gastonia, NC-SC Metro Area","62068","829","77787","1511","42380","1310",
"310M400US16820","Charlottesville, VA Metro Area","71052","4391","89589","4321","44646","5961",
"310M400US16860","Chattanooga, TN-GA Metro Area","54732","2438","66552","2295","35874","3432",
"310M400US16940","Cheyenne, WY Metro Area","64306","4928","78484","6153","32301","7344",
"310M400US16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","70760","515","90772","730","42959","956",
"310M400US17020","Chico, CA Metro Area","51652","3471","66596","3608","36259","3277",
"310M400US17140","Cincinnati, OH-KY-IN Metro Area","62743","1087","82233","1189","36093","1374",
"310M400US17300","Clarksville, TN-KY Metro Area","51280","2364","69814","4341","36253","2924",
"310M400US17420","Cleveland, TN Metro Area","48101","4566","57419","4335","32955","6262",
"310M400US17460","Cleveland-Elyria, OH Metro Area","56203","1009","75579","1295","31293","815",
"310M400US17660","Coeur d'Alene, ID Metro Area","55236","3717","69034","5787","36999","4134",
"310M400US17780","College Station-Bryan, TX Metro Area","50512","2215","75871","5748","31067","1992",
"310M400US17820","Colorado Springs, CO Metro Area","67430","2034","82303","3076","45726","2478",
"310M400US17860","Columbia, MO Metro Area","54356","3368","79808","7949","32552","2817",
"310M400US17900","Columbia, SC Metro Area","53765","2137","67386","2589","35741","2498",
"310M400US17980","Columbus, GA-AL Metro Area","49731","4120","63677","5350","34263","5578",
"310M400US18020","Columbus, IN Metro Area","62047","5285","65290","7318","53982","11221",
"310M400US18140","Columbus, OH Metro Area","64052","1189","84225","1724","40576","1294",
"310M400US18580","Corpus Christi, TX Metro Area","54264","3634","68982","5636","39777","3076",
"310M400US18700","Corvallis, OR Metro Area","63773","6403","89842","11131","31823","5189",
"310M400US18880","Crestview-Fort Walton Beach-Destin, FL Metro Area","63710","3539","76158","4669","41358","4766",
"310M400US19060","Cumberland, MD-WV Metro Area","44607","4810","55417","5338","26111","2571",
"310M400US19100","Dallas-Fort Worth-Arlington, TX Metro Area","69445","956","92287","1263","47637","1022",
"310M400US19140","Dalton, GA Metro Area","45326","3016","53930","6714","35142","4157",
"310M400US19180","Danville, IL Metro Area","43655","2992","56939","7031","24454","6546",
"310M400US19300","Daphne-Fairhope-Foley, AL Metro Area","56813","3367","62690","3877","35948","9413",
"310M400US19340","Davenport-Moline-Rock Island, IA-IL Metro Area","55635","1900","69139","2985","32296","2295",
"310M400US19380","Dayton, OH Metro Area","54942","2295","73255","2987","32798","1913",
"310M400US19460","Decatur, AL Metro Area","49133","4988","60280","6877","27601","2829",
"310M400US19500","Decatur, IL Metro Area","50066","2977","64893","6527","28377","3585",
"310M400US19660","Deltona-Daytona Beach-Ormond Beach, FL Metro Area","51364","1130","58729","3054","36723","2241",
"310M400US19740","Denver-Aurora-Lakewood, CO Metro Area","79478","1489","101182","929","51257","999",
"310M400US19780","Des Moines-West Des Moines, IA Metro Area","71352","1720","86847","2355","43359","3447",
"310M400US19820","Detroit-Warren-Dearborn, MI Metro Area","60513","602","75370","963","35023","949",
"310M400US20020","Dothan, AL Metro Area","45152","3651","58337","4462","26786","2915",
"310M400US20100","Dover, DE Metro Area","54419","3658","65926","3258","34457","6048",
"310M400US20220","Dubuque, IA Metro Area","60225","3573","69373","5436","34918","6922",
"310M400US20260","Duluth, MN-WI Metro Area","53767","2739","67867","2582","29852","2213",
"310M400US20500","Durham-Chapel Hill, NC Metro Area","62114","2014","84118","2877","36888","1940",
"310M400US20700","East Stroudsburg, PA Metro Area","64170","4928","77306","6624","42541","7809",
"310M400US20740","Eau Claire, WI Metro Area","60081","2940","73031","4493","35058","3577",
"310M400US20940","El Centro, CA Metro Area","48984","5118","63702","7666","22334","4892",
"310M400US21060","Elizabethtown-Fort Knox, KY Metro Area","51147","3105","60219","6695","40051","4770",
"310M400US21140","Elkhart-Goshen, IN Metro Area","58350","4112","67471","3537","35838","3530",
"310M400US21300","Elmira, NY Metro Area","53005","3786","66476","5440","28303","3798",
"310M400US21340","El Paso, TX Metro Area","43862","2029","53900","3509","30086","1826",
"310M400US21420","Enid, OK Metro Area","53946","7439","62350","8650","40613","6836",
"310M400US21500","Erie, PA Metro Area","48007","2624","64076","2864","27726","2233",
"310M400US21660","Eugene, OR Metro Area","53172","1686","70121","2925","35374","2213",
"310M400US21780","Evansville, IN-KY Metro Area","55412","2806","70233","4843","31344","4038",
"310M400US21820","Fairbanks, AK Metro Area","75448","6638","95324","12807","54811","10044",
"310M400US22020","Fargo, ND-MN Metro Area","65073","5129","93567","6277","37816","3000",
"310M400US22140","Farmington, NM Metro Area","44841","4446","52406","5171","32034","5417",
"310M400US22180","Fayetteville, NC Metro Area","46679","1364","63947","2325","34632","1894",
"310M400US22220","Fayetteville-Springdale-Rogers, AR-MO Metro Area","57911","2247","76835","3142","38402","2813",
"310M400US22380","Flagstaff, AZ Metro Area","61843","3885","74756","8424","42290","8176",
"310M400US22420","Flint, MI Metro Area","48127","2040","61517","2354","28388","2337",
"310M400US22500","Florence, SC Metro Area","42612","3660","52811","6077","26492","7604",
"310M400US22520","Florence-Muscle Shoals, AL Metro Area","49407","3301","61792","2743","27630","4338",
