"GEO_ID","NAME","B25119_001E","B25119_001M","B25119_002E","B25119_002M","B25119_003E","B25119_003M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)!!Total","Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)!!Total","Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)!!Owner occupied (dollars)","Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)!!Owner occupied (dollars)","Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)!!Renter occupied (dollars)","Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)!!Renter occupied (dollars)",
"310M200US10180","Abilene, TX Metro Area","47420","5071","59986","3939","34388","4023",
"310M200US10380","Aguadilla-Isabela, PR Metro Area","14485","810","18670","1035","9307","1206",
"310M200US10420","Akron, OH Metro Area","51580","1156","68716","1951","29510","2297",
"310M200US10500","Albany, GA Metro Area","40143","2937","56737","5497","26275","3121",
"310M200US10540","Albany, OR Metro Area","47527","4013","58968","3880","34362","3794",
"310M200US10580","Albany-Schenectady-Troy, NY Metro Area","63080","2573","81668","1838","36509","2335",
"310M200US10740","Albuquerque, NM Metro Area","48937","1376","61302","1937","29999","1894",
"310M200US10780","Alexandria, LA Metro Area","42778","2414","58327","5140","26874","3394",
"310M200US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","60671","1573","74136","2280","35788","1657",
"310M200US11020","Altoona, PA Metro Area","45432","3540","58072","4175","21104","4530",
"310M200US11100","Amarillo, TX Metro Area","51734","1630","65643","2185","31793","1985",
"310M200US11180","Ames, IA Metro Area","50811","2005","79938","7869","26711","3359",
"310M200US11260","Anchorage, AK Metro Area","78238","3082","98331","3696","51314","4166",
"310M200US11460","Ann Arbor, MI Metro Area","61977","2207","88394","3978","39260","4040",
"310M200US11500","Anniston-Oxford-Jacksonville, AL Metro Area","42346","2538","52232","3113","25023","3058",
"310M200US11540","Appleton, WI Metro Area","61245","1986","74371","3118","34428","4439",
"310M200US11640","Arecibo, PR Metro Area","15750","1246","19110","1223","8949","1355",
"310M200US11700","Asheville, NC Metro Area","44826","1689","56149","2424","27897","1922",
"310M200US12020","Athens-Clarke County, GA Metro Area","38643","2323","60672","4000","21674","1944",
"310M200US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","60219","464","76529","822","39625","1282",
"310M200US12100","Atlantic City-Hammonton, NJ Metro Area","54052","3806","70239","4488","30334","2777",
"310M200US12220","Auburn-Opelika, AL Metro Area","46589","2849","66909","5848","24592","6012",
