"GEO_ID","NAME","B25119_001E","B25119_001M","B25119_002E","B25119_002M","B25119_003E","B25119_003M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars) --!!Total:","Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars) --!!Total:","Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars) --!!Total:!!Owner occupied (dollars)","Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars) --!!Total:!!Owner occupied (dollars)","Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars) --!!Total:!!Renter occupied (dollars)","Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars) --!!Total:!!Renter occupied (dollars)",
"310M600US10180","Abilene, TX Metro Area","54037","3300","65640","5870","38702","4487",
"310M600US10380","Aguadilla-Isabela, PR Metro Area","17926","1186","21387","1541","12718","1077",
"310M600US10420","Akron, OH Metro Area","63367","1596","81472","2695","32695","2581",
"310M600US10500","Albany, GA Metro Area","48659","4698","64937","10663","34993","6425",
"310M600US10540","Albany-Lebanon, OR Metro Area","65196","4776","75586","5990","46111","5511",
"310M600US10580","Albany-Schenectady-Troy, NY Metro Area","78272","1948","96901","3250","45035","3443",
"310M600US10740","Albuquerque, NM Metro Area","60070","1862","75945","2959","39823","2322",
"310M600US10780","Alexandria, LA Metro Area","47032","4990","57638","5467","31905","3645",
"310M600US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","72058","2310","89219","3405","43623","3864",
"310M600US11020","Altoona, PA Metro Area","57361","6630","69716","4364","27606","6315",
"310M600US11100","Amarillo, TX Metro Area","58354","3101","77372","5685","41949","2787",
"310M600US11180","Ames, IA Metro Area","64569","3934","92668","8329","32075","6081",
"310M600US11260","Anchorage, AK Metro Area","84476","4493","107600","5656","51658","3819",
"310M600US11460","Ann Arbor, MI Metro Area","76918","3268","111503","3190","42554","5128",
"310M600US11500","Anniston-Oxford, AL Metro Area","46524","6711","57384","5776","25709","5005",
"310M600US11540","Appleton, WI Metro Area","74331","3266","86710","5587","47299","4825",
"310M600US11640","Arecibo, PR Metro Area","20297","1362","24466","2157","13825","2713",
"310M600US11700","Asheville, NC Metro Area","60261","2536","72208","2950","41039","3924",
"310M600US12020","Athens-Clarke County, GA Metro Area","59628","5174","86918","13427","41171","7137",
"310M600US12060","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","77589","1068","96644","1280","50269","1253",
"310M600US12100","Atlantic City-Hammonton, NJ Metro Area","66388","3754","86812","4128","32120","4028",
"310M600US12220","Auburn-Opelika, AL Metro Area","52424","4686","73851","6583","25080","7138",
"310M600US12260","Augusta-Richmond County, GA-SC Metro Area","56515","2241","70880","2455","31443","2413",
"310M600US12420","Austin-Round Rock-Georgetown, TX Metro Area","86530","1873","111809","2389","56078","2250",
"310M600US12540","Bakersfield, CA Metro Area","58217","3668","80057","4842","39463","2381",
