"GEO_ID","NAME","B25119_001E","B25119_001M","B25119_002E","B25119_002M","B25119_003E","B25119_003M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars) --!!Total:","Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars) --!!Total:","Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars) --!!Total:!!Owner occupied (dollars)","Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars) --!!Total:!!Owner occupied (dollars)","Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars) --!!Total:!!Renter occupied (dollars)","Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars) --!!Total:!!Renter occupied (dollars)",
"310M600US10180","Abilene, TX Metro Area","54857","1805","68839","2851","38938","1776",
"310M600US10380","Aguadilla-Isabela, PR Metro Area","16744","455","21488","753","10356","675",
"310M600US10420","Akron, OH Metro Area","59313","879","75293","1086","33676","1113",
"310M600US10500","Albany, GA Metro Area","46323","1381","60945","1939","29168","1360",
"310M600US10540","Albany-Lebanon, OR Metro Area","59547","2241","70253","3208","40278","2018",
"310M600US10580","Albany-Schenectady-Troy, NY Metro Area","72810","950","95287","1335","44359","1189",
"310M600US10740","Albuquerque, NM Metro Area","55370","847","68723","970","34456","1152",
"310M600US10780","Alexandria, LA Metro Area","48294","1771","63419","2910","27196","1486",
"310M600US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","69769","777","86659","922","40543","825",
"310M600US11020","Altoona, PA Metro Area","50856","1517","64440","2040","29493","2651",
"310M600US11100","Amarillo, TX Metro Area","56055","1342","72461","2236","36784","1788",
"310M600US11180","Ames, IA Metro Area","60442","1839","84425","2822","32572","2189",
"310M600US11260","Anchorage, AK Metro Area","82890","1592","104045","1538","54402","1882",
"310M600US11460","Ann Arbor, MI Metro Area","75730","1560","103439","1904","42685","1874",
"310M600US11500","Anniston-Oxford, AL Metro Area","50128","1964","57587","2432","31621","2756",
"310M600US11540","Appleton, WI Metro Area","70261","1012","84120","1619","42598","1681",
"310M600US11640","Arecibo, PR Metro Area","18917","665","23323","878","10823","716",
